image_number,total_cell_count,positive_cell_count,negative_cell_count,p_enriched_positive,p_enriched_negative,enriched_score_positive,training_total_cell_count,training_positive_cell_count,training_negative_cell_count,Image_Metadata_image,Image_Metadata_scene,Image_Metadata_slide,days_conf,edu_status
768,1097,86,1011,0.5708397759020668,0.42916022409728216,0.1238947635759114,0,0,0,104,s1,slide3,3,pos
769,1284,112,1172,0.6070775159438884,0.39292248416611014,0.1889372674086708,1,1,0,105,s1,slide3,3,pos
770,1173,108,1065,0.6254805362769241,0.3745194637879053,0.2227394070060749,0,0,0,106,s1,slide3,3,pos
771,929,120,809,0.7413854573905527,0.2586145426111753,0.4573911200870373,0,0,0,107,s1,slide3,3,pos
772,2021,110,1911,0.45511173409108147,0.5448882659101704,-0.07818942252197242,0,0,0,108,s1,slide3,3,pos
773,1036,79,957,0.5615671256028012,0.43843287439542056,0.10749856527649326,0,0,0,109,s1,slide3,3,pos
774,1328,85,1243,0.5049097426269542,0.4950902573722024,0.00852937066934073,0,0,0,110,s1,slide3,3,pos
775,1037,89,948,0.6013069397445018,0.3986930603991192,0.1784575398141509,1,0,1,111,s1,slide3,3,pos
776,1484,92,1392,0.49489057119084445,0.5051094288063411,-0.00887629592779765,0,0,0,112,s1,slide3,3,pos
777,1191,71,1120,0.4827262170977276,0.5172737829027965,-0.03001958132115173,0,0,0,113,s1,slide3,3,pos
778,1550,70,1480,0.40188889208933176,0.5981111079199335,-0.17267586527168957,0,0,0,114,s1,slide3,3,pos
779,1087,60,1027,0.45942282912509663,0.5405771708763983,-0.07064512918060467,0,0,0,115,s1,slide3,3,pos
780,864,64,800,0.5518163088173944,0.448183691182045,0.09033848273753751,0,0,0,116,s1,slide3,3,pos
781,1288,59,1229,0.4059142691846091,0.5940857308260384,-0.16541480287469762,0,0,0,117,s1,slide3,3,pos
782,1650,69,1581,0.381231023926243,0.6187689760962357,-0.2103402953113986,0,0,0,118,s1,slide3,3,pos
783,1525,67,1458,0.3944304958938018,0.6055695041196881,-0.18619351079742685,0,0,0,119,s1,slide3,3,pos
784,1220,67,1153,0.45788035557246504,0.5421196444288584,-0.07334313340095966,0,0,0,120,s1,slide3,3,pos
785,1520,64,1456,0.38310185719385664,0.6168981428289356,-0.2068992054342587,0,0,0,121,s1,slide3,3,pos
786,1525,72,1453,0.41416503527738746,0.585834964726461,-0.1506018563543522,0,0,0,122,s1,slide3,3,pos
787,1377,93,1284,0.5220471565938477,0.4779528434042792,0.03832468502921432,0,0,0,123,s1,slide3,3,pos
788,1434,60,1374,0.3814989360962317,0.6185010639299376,-0.20984711985439217,1,1,0,124,s1,slide3,3,pos
789,854,76,778,0.6133714917366584,0.3866285083761945,0.20042971317549577,0,0,0,125,s1,slide3,3,pos
790,970,90,880,0.6278520481442342,0.37214795192123834,0.22714168215996303,0,0,0,126,s1,slide3,3,pos
791,1508,74,1434,0.4250413243784457,0.5749586756251619,-0.13120547536788202,0,0,0,127,s1,slide3,3,pos
792,938,74,864,0.5727878616227624,0.4272121383766769,0.12735022213352631,0,0,0,128,s1,slide3,3,pos
793,978,96,882,0.6472458543380127,0.3527541456955018,0.263597151022158,1,1,0,129,s1,slide3,3,pos
794,1031,121,910,0.7089632231219877,0.29103677688035723,0.3866758350027769,0,0,0,130,s1,slide3,3,pos
795,901,91,810,0.6569295638069149,0.34307043621665284,0.28213551215980764,0,0,0,131,s1,slide3,3,pos
796,1244,94,1150,0.5586880995682585,0.44131190042951024,0.10242378188965344,0,0,0,132,s1,slide3,3,pos
797,1321,76,1245,0.4718566612588655,0.5281433387461923,-0.04894171616254572,0,0,0,133,s1,slide3,3,pos
798,1367,104,1263,0.5610147052341017,0.4389852947673034,0.10652427268214232,0,0,0,134,s1,slide3,3,pos
799,1395,86,1309,0.4931361366311871,0.506863863370146,-0.01192450103942022,0,0,0,135,s1,slide3,3,pos
800,973,85,888,0.6072515266968785,0.39274847342773184,0.18925410982221796,0,0,0,136,s1,slide3,3,pos
801,1141,56,1085,0.42524473505453736,0.5747552649523118,-0.13084401291075198,0,0,0,137,s1,slide3,3,pos
802,1070,88,982,0.5869056739590014,0.41309432626115544,0.15251907824274075,20,3,17,138,s1,slide3,3,pos
803,1320,77,1243,0.4760689764194232,0.5239310235813792,-0.04160423403346475,0,0,0,139,s1,slide3,3,pos
804,1058,66,992,0.496787341770883,0.5032126582284839,-0.00558103576921203,1,1,0,140,s1,slide3,3,pos
805,1151,76,1075,0.514748548976182,0.4852514510222757,0.02562828834779756,0,0,0,141,s1,slide3,3,pos
806,1360,68,1292,0.4304361927815309,0.5695638072214427,-0.12163360298211806,0,0,0,142,s1,slide3,3,pos
807,1086,73,1013,0.5204335266669855,0.4795664733311579,0.03551645252183272,0,0,0,143,s1,slide3,3,pos
808,1081,67,1014,0.4947722505229615,0.5052277494776043,-0.00908186194760468,0,0,0,144,s1,slide3,3,pos
809,1136,70,1066,0.4929649562182888,0.5070350437815514,-0.01222192933433907,0,0,0,145,s1,slide3,3,pos
810,1087,70,1017,0.5067855949400304,0.493214405060192,0.01178850951596272,0,0,0,146,s1,slide3,3,pos
811,1490,66,1424,0.39665593961480217,0.6033440604020418,-0.18215107978850328,0,0,0,147,s1,slide3,3,pos
812,989,61,928,0.4932419097402525,0.5067580902589043,-0.01174072022640043,0,0,0,148,s1,slide3,3,pos
813,1548,53,1495,0.3314835034161314,0.6685164967173585,-0.30465020834574735,0,0,0,149,s1,slide3,3,pos
814,1433,61,1372,0.3860427496699111,0.6139572503506884,-0.2015027320782793,0,0,0,150,s1,slide3,3,pos
815,1217,77,1140,0.5012472436477616,0.4987527563500024,0.00216668862930391,0,0,0,151,s1,slide3,3,pos
816,1088,74,1014,0.5242120056292915,0.4757879943709212,0.04209348381884992,0,0,0,152,s1,slide3,3,pos
817,1187,84,1103,0.5370978433159166,0.46290215668288703,0.06456420430859827,0,0,0,153,s1,slide3,3,pos
818,985,79,906,0.5783632310455707,0.4216367689542437,0.1372621986289889,0,0,0,154,s1,slide3,3,pos
