unique_id,size,scan,signal,well,sample_id,plate_id,cell_strain,day,indicies_baseline,repeat_control,repeat_control_length,...9,...10,allele_1,allele_2,genotype,gene,gene_geno,norm_signal
0515plate_A10.fsa,416.8342962336925,3801,32,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.010832769126607989
0515plate_A10.fsa,417.00105859784094,3802,31,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.01049424509140149
0515plate_A10.fsa,417.1678209619895,3803,39,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.013202437373053487
0515plate_A10.fsa,417.33458332613804,3804,41,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.013879485443466486
0515plate_A10.fsa,417.5013456902865,3805,55,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.018618821936357482
0515plate_A10.fsa,417.66810805443504,3806,58,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.01963439404197698
0515plate_A10.fsa,417.8348704185836,3807,105,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.035545023696682464
0515plate_A10.fsa,418.00163278273203,3808,133,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.045023696682464455
0515plate_A10.fsa,418.1683951468806,3809,142,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.04807041299932295
0515plate_A10.fsa,418.33515751102914,3810,132,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.04468517264725796
0515plate_A10.fsa,418.5019198751776,3811,99,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.03351387948544347
0515plate_A10.fsa,418.66868223932613,3812,61,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.02064996614759648
0515plate_A10.fsa,418.8354446034747,3813,57,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.01929587000677048
0515plate_A10.fsa,419.0022069676231,3814,42,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.014218009478672985
0515plate_A10.fsa,419.1689693317717,3815,42,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.014218009478672985
0515plate_A10.fsa,419.33573169592023,3816,55,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.018618821936357482
0515plate_A10.fsa,419.50249406006867,3817,49,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.016587677725118485
0515plate_A10.fsa,419.6692564242172,3818,35,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.011848341232227487
0515plate_A10.fsa,419.8360187883658,3819,40,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.013540961408259987
0515plate_A10.fsa,420.0027811525142,3820,40,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.013540961408259987
0515plate_A10.fsa,420.16954351666277,3821,49,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.016587677725118485
0515plate_A10.fsa,420.3363058808113,3822,69,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.023358158429248477
0515plate_A10.fsa,420.50306824495976,3823,91,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.030805687203791468
0515plate_A10.fsa,420.6698306091083,3824,119,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.04028436018957346
0515plate_A10.fsa,420.83659297325687,3825,147,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.04976303317535545
0515plate_A10.fsa,421.0033553374053,3826,149,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.05044008124576845
0515plate_A10.fsa,421.17011770155386,3827,134,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.04536222071767095
0515plate_A10.fsa,421.3368800657024,3828,93,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.03148273527420447
0515plate_A10.fsa,421.50364242985086,3829,75,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.025389302640487475
